OBJECTID,NAME,FIPS,Expend,PopTot,PopMed,PopDens,Partic,Ozone,Grass,Shrub,Forest,Agricult,UrbanVeg,Wetlands,OpenSpace,Crops,Pasture
49,Kern,06029,8510.984,839631,58041.4,102.9,41,110,24.2181,38.4085,6.2126,19.2981324,1.2474373,0.2625534,0.7008,17.5637163,1.7344161
50,Los Angeles,06037,8987.594,9818605,590859.2,2402.3,22,79,9.3092,40.8679,7.0328,2.7929318,0.6593329,0.3217847,0.5843,0.9289397,1.8639921
51,Madera,06039,7702.358,150865,14089.6,70.1,1,15,22.5581,12.5277,31.3634,24.4306767,12.2993497,0.221406,8.6432,21.0714548,3.3592219
52,Mono,06051,9727.684,14202,1991,4.5,0,0,5.5869,62.5302,21.893,0.7803909,1.4465453,0.6029941,1.2746,0.25129,0.5291009
53,Orange,06059,9283.292,3010232,194932.4,3767.3,8,14,4.8835,29.8533,1.7242,0.5691141,2.363973,0.6286213,2.0906,0.4964315,0.0726826
54,Riverside,06065,8755.284,2189641,123661.4,299.8,36,107,6.9469,67.788,2.1775,4.663719,1.0877907,0.40409,0.9371,2.6928758,1.9708432
55,San Bernardino,06071,7866.714,2035210,91452,101.2,26,116,1.1004,81.5563,1.9584,0.2555968,0.4744355,0.1182684,0.2456,0.1580523,0.0975445
56,San Diego,06073,8443.466,3095313,206288.2,730.6,3,38,11.4021,49.0419,4.8379,1.9166933,1.4123443,1.1913621,1.0977,1.6908465,0.2258468
57,Tulare,06107,8184.598,442179,43204.2,91.4,12,104,17.0006,21.1084,28.8135,23.8577148,3.039574,0.2080417,2.7123,20.3275179,3.5301969
58,Ventura,06111,9097.52,823318,77757.8,443.4,0,39,9.8993,45.5178,21.1767,7.309412,1.2877332,0.8133233,1.1025,6.5053589,0.8040531
